Indicator,Value,Reference Range,Result
"Voltage of PV2 (V),""	695.7	"",""	688.7	"",""	681.8	"",""	674.8	"",""	667.9	"",""	660.9	"",""	654	"",""	647	"",""	640	"",""	633.1	"",""	626.1	"",""	619.2	"",""	612.2	"",""	605.3	"",""	598.3	"",""	591.3	"",""	587.9	"",""	584.4	"",""	580.9	"",""	577.4	"",""	573.9	"",""	570.5	"",""	567	"",""	563.5	"",""	560	"",""	556.6	"",""	553.1	"",""	549.6	"",""	546.1	"",""	542.6	"",""	539.2	"",""	535.7	"",""	532.2	"",""	528.7	"",""	525.3	"",""	521.8	"",""	512.5	"",""	503.2	"",""	493.9	"",""	484.7	"",""	475.4	"",""	466.1	"",""	456.8	"",""	447.6	"",""	438.3	"",""	429	"",""	419.7	"",""	410.5	"",""	401.2	"",""	391.9	"",""	382.6	"",""	353.2	"",""	323.8	"",""	294.3	"",""	264.9	"",""	235.5	"",""	206	"",""	176.6	"",""	147.2	"",""	117.7	"",""	88.3	"",""	58.9	"",""	29.4	"",""	0	"""
"Current of PV2 (A),""	0	"",""	0.128	"",""	0.258	"",""	0.386	"",""	0.515	"",""	0.644	"",""	0.773	"",""	0.902	"",""	1.031	"",""	1.158	"",""	1.289	"",""	1.418	"",""	1.546	"",""	1.676	"",""	1.804	"",""	1.932	"",""	1.997	"",""	2.061	"",""	2.126	"",""	2.191	"",""	2.255	"",""	2.32	"",""	2.384	"",""	2.448	"",""	2.512	"",""	2.576	"",""	2.641	"",""	2.706	"",""	2.75	"",""	2.778	"",""	2.797	"",""	2.809	"",""	2.82	"",""	2.831	"",""	2.843	"",""	2.855	"",""	2.884	"",""	2.904	"",""	2.928	"",""	2.951	"",""	2.964	"",""	2.974	"",""	2.987	"",""	2.998	"",""	3.005	"",""	3.008	"",""	3.013	"",""	3.016	"",""	3.016	"",""	3.016	"",""	3.016	"",""	3.016	"",""	3.016	"",""	3.016	"",""	3.016	"",""	3.016	"",""	3.016	"",""	3.016	"",""	3.016	"",""	3.016	"",""	3.016	"",""	3.016	"",""	3.016	"",""	3.016	"""
"Voltage of PV3 (V),""	612.6	"",""	606.5	"",""	600.3	"",""	594.2	"",""	588.1	"",""	582	"",""	575.8	"",""	569.7	"",""	563.6	"",""	557.5	"",""	551.3	"",""	545.2	"",""	539.1	"",""	533	"",""	526.8	"",""	520.7	"",""	517.6	"",""	514.6	"",""	511.5	"",""	508.5	"",""	505.4	"",""	502.3	"",""	499.3	"",""	496.2	"",""	493.1	"",""	490.1	"",""	487	"",""	484	"",""	480.9	"",""	477.8	"",""	474.8	"",""	471.7	"",""	468.6	"",""	465.6	"",""	462.5	"",""	459.5	"",""	451.3	"",""	443.1	"",""	434.9	"",""	426.8	"",""	418.6	"",""	410.4	"",""	402.3	"",""	394.1	"",""	385.9	"",""	377.8	"",""	369.6	"",""	361.4	"",""	353.3	"",""	345.1	"",""	336.9	"",""	311	"",""	285.1	"",""	259.2	"",""	233.3	"",""	207.3	"",""	181.4	"",""	155.5	"",""	129.6	"",""	103.7	"",""	77.8	"",""	51.8	"",""	25.9	"",""	0	"""
"Current of PV3 (A),""	0	"",""	0.559	"",""	0.954	"",""	1.347	"",""	1.686	"",""	1.972	"",""	2.211	"",""	2.406	"",""	2.561	"",""	2.684	"",""	2.779	"",""	2.841	"",""	2.878	"",""	2.899	"",""	2.911	"",""	2.928	"",""	2.939	"",""	2.951	"",""	2.962	"",""	2.972	"",""	2.98	"",""	2.987	"",""	2.997	"",""	3.007	"",""	3.013	"",""	3.015	"",""	3.018	"",""	3.021	"",""	3.024	"",""	3.028	"",""	3.032	"",""	3.035	"",""	3.037	"",""	3.039	"",""	3.041	"",""	3.042	"",""	3.046	"",""	3.05	"",""	3.054	"",""	3.058	"",""	3.062	"",""	3.064	"",""	3.067	"",""	3.07	"",""	3.072	"",""	3.075	"",""	3.077	"",""	3.079	"",""	3.08	"",""	3.081	"",""	3.083	"",""	3.085	"",""	3.085	"",""	3.085	"",""	3.085	"",""	3.085	"",""	3.085	"",""	3.085	"",""	3.085	"",""	3.085	"",""	3.085	"",""	3.085	"",""	3.085	"",""	3.085	"""
"Voltage of PV4 (V),""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"""
"Current of PV4 (A),""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"",""	0	"""

,Fill factor,Total energy yield (kWh),Status flag,Curve validity flag
"String1,""	0.81	"",""	2,094.4	"",""	String data valid	"",""	Valid, indicating that the irradiance is stable during scanning.	"""
"String2,""	0.72	"",""	2,548.51	"",""	String data valid	"",""	Valid, indicating that the irradiance is stable during scanning.	"""
"String3,""	0.82	"",""	2,828.53	"",""	String data valid	"",""	Valid, indicating that the irradiance is stable during scanning.	"""
"String4,""	--	"",""	0.52	"",""	PV string open circuit	"",""	Invalid, indicating that the irradiance is unstable during scanning.	"""
